QueryRegionName	chr	start	end	name	class	activity_base	TargetGene	TargetGeneTSS	TargetGeneExpression	TargetGenePromoterActivityQuantile	TargetGeneIsExpressed	distance	isSelfPromoter	hic_contact	powerlaw_contact	powerlaw_contact_reference	hic_contact_pl_scaled	hic_pseudocount	hic_contact_pl_scaled_adj	ABC.Score.Numerator	ABC.Score	powerlaw.Score.Numerator	powerlaw.Score	CellType	variant.chr	variant.start	variant.end	isOwnTSS	TargetGeneIsCoding	CredibleSet	Disease	pvalue	PosteriorProb	BestSNP	Coding	SpliceSite	Promoter	LocusID	Disease2
rs10748781	chr10	101283329	101283330	intergenic|chr10:101281092-101283647	intergenic	9.750252	LINC01475	101290934	NA	0.421623	True	8564.5	False	0.018302	0.078292	0.077291	0.018068	0.001216	0.019284	0.18802	0.065772	0.753603	0.134853	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101281092-101283647	intergenic	9.750252	GOT1	101190530	NA	0.642048	True	91839.5	False	0.004068	0.009822	0.009813	0.004064	0.001216	0.00528	0.051482	0.022138	0.095675	0.03488	H1_Derived_Neuronal_Progenitor_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101281251-101283484	intergenic	5.481591	NKX2-3	101292689	NA	0.429057	True	10321.5	False	0.018302	0.066499	0.06571	0.018085	0.001216	0.0193	0.105797	0.042323	0.360193	0.082259	H9-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282271-101283831	intergenic	3.615387	LINC01475	101290934	NA	0.430402	True	7883	False	0.018302	0.084183	0.083071	0.01806	0.001216	0.019276	0.069691	0.029613	0.300336	0.083077	H1_BMP4_Derived_Mesendoderm_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282478-101283611	intergenic	2.996725	NKX2-3	101292689	NA	0.400114	True	9644.5	False	0.018302	0.070565	0.069704	0.018078	0.001216	0.019294	0.05782	0.024266	0.208884	0.05278	H1-hESC-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282513-101283599	intergenic	11.701966	NKX2-3	101292689	NA	0.668832	True	9633	False	0.018302	0.070639	0.069777	0.018078	0.001216	0.019294	0.22578	0.059359	0.816523	0.095684	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282513-101283599	intergenic	11.701966	LINC01475	101290934	NA	0.964356	True	7878	False	0.018302	0.084229	0.083117	0.01806	0.001216	0.019276	0.225567	0.059308	0.972636	0.111253	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282513-101283599	intergenic	11.701966	GOT1	101190530	NA	0.839335	True	92526	False	0.004068	0.009759	0.009749	0.004064	0.001216	0.00528	0.061788	0.02322	0.114085	0.027644	H1_BMP4_Derived_Trophoblast_Cultured_Cells-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282668-101283553	intergenic	18.639701	ENTPD7	101419262	NA	0.688366	True	136151.5	False	0.001492	0.00696	0.006967	0.001494	0.001216	0.00271	0.050509	0.021042	0.129855	0.034663	spleen-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282668-101283553	intergenic	18.639701	GOT1	101190530	NA	0.885327	True	92580.5	False	0.004068	0.009754	0.009744	0.004064	0.001216	0.00528	0.098421	0.037415	0.181629	0.044173	spleen-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282668-101283553	intergenic	18.639701	LINC01475	101290934	NA	0.652436	True	7823.5	False	0.018302	0.084742	0.083621	0.01806	0.001216	0.019275	0.359288	0.087501	1.558666	0.156664	spleen-ENCODE	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282668-101283553	intergenic	18.639701	NKX2-3	101292689	NA	0.794036	True	9578.5	False	0.018302	0.070991	0.070122	0.018078	0.001216	0.019294	0.359629	0.087573	1.30705	0.134176	spleen-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282668-101283553	intergenic	18.639701	SLC25A28	101380221	NA	0.969651	True	97110.5	False	0.001543	0.009354	0.009348	0.001542	0.001216	0.002758	0.051402	0.019835	0.174235	0.033036	spleen-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282848-101283616	intergenic	7.356609	GOT1	101190530	NA	0.918812	True	92702	False	0.004068	0.009742	0.009733	0.004064	0.001216	0.00528	0.038844	0.015105	0.071602	0.017858	transverse_colon-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282848-101283616	intergenic	7.356609	LINC01475	101290934	NA	0.672153	True	7702	False	0.018302	0.085911	0.084767	0.018058	0.001216	0.019274	0.141791	0.045339	0.623598	0.092855	transverse_colon-ENCODE	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282848-101283616	intergenic	7.356609	NKX2-3	101292689	NA	0.813956	True	9457	False	0.018302	0.071788	0.070905	0.018077	0.001216	0.019293	0.141928	0.045378	0.521619	0.078597	transverse_colon-ENCODE	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282943-101283531	intergenic	2.904768	NKX2-3	101292689	NA	0.666979	True	9452	False	0.018302	0.071821	0.070938	0.018077	0.001216	0.019292	0.05604	0.016476	0.206057	0.025742	CD34-positive_mobilized-Roadmap	chr10	101283329	101283330	FALSE	TRUE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10748781	chr10	101283329	101283330	intergenic|chr10:101282943-101283531	intergenic	2.904768	LINC01475	101290934	NA	0.657813	True	7697	False	0.018302	0.08596	0.084815	0.018058	0.001216	0.019274	0.055986	0.016461	0.246368	0.030867	CD34-positive_mobilized-Roadmap	chr10	101283329	101283330	FALSE	FALSE	Huang2017-r116-1	IBD	22.19	0.9905	rs10748781	FALSE	FALSE	FALSE	62	IBD
rs10822035	chr10	64370986	64370987	genic|chr10:64370319-64371684	genic	4.147036	EGR2	64576140	NA	0.768698	True	205138.5	False	0.007962	0.004862	0.004877	0.007986	0.001216	0.009202	0.038162	0.017648	0.020224	0.004762	OCI-LY7-ENCODE	chr10	64370986	64370987	FALSE	TRUE	Huang2017-r113-2	IBD	7.71	0.1532	rs10761648	FALSE	FALSE	FALSE	54	Ulcerative_colitis
rs10917547	chr1	20143141	20143142	promoter|chr1:20142095-20144142	promoter	15.337533	RNF186	20141771	NA	0.58021	True	1347.5	True	0.0354	0.125372	0.123436	0.034853	0.001216	0.036069	0.553208	0.213816	1.893205	0.409717	H9-Roadmap	chr1	20143141	20143142	FALSE	TRUE	Huang2017-r4-2	IBD	29.55	0.1233	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917547	chr1	20143141	20143142	intergenic|chr1:20142791-20144213	intergenic	10.851683	OTUD3	20208887	NA	0.858115	True	65385	False	0.003913	0.013223	0.013187	0.003902	0.001216	0.005118	0.055541	0.018702	0.143102	0.032998	H7	chr1	20143141	20143142	FALSE	TRUE	Huang2017-r4-2	IBD	29.55	0.1233	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917547	chr1	20143141	20143142	intergenic|chr1:20142791-20144213	intergenic	10.851683	RNF186	20141771	NA	0.400766	True	1731	False	0.0354	0.125372	0.123436	0.034853	0.001216	0.036069	0.391408	0.129381	1.339489	0.292103	H7	chr1	20143141	20143142	FALSE	TRUE	Huang2017-r4-2	IBD	29.55	0.1233	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917547	chr1	20143141	20143142	intergenic|chr1:20142909-20143794	intergenic	11.480496	OTUD3	20208887	NA	0.755948	True	65535.5	False	0.003913	0.013196	0.013161	0.003902	0.001216	0.005118	0.05876	0.02311	0.151092	0.043568	iPS_DF_19.11_Cell_Line-Roadmap	chr1	20143141	20143142	FALSE	TRUE	Huang2017-r4-2	IBD	29.55	0.1233	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917548	chr1	20143547	20143548	promoter|chr1:20142095-20144142	promoter	15.337533	RNF186	20141771	NA	0.58021	True	1347.5	True	0.0354	0.125372	0.123436	0.034853	0.001216	0.036069	0.553208	0.213816	1.893205	0.409717	H9-Roadmap	chr1	20143547	20143548	FALSE	TRUE	Huang2017-r4-2	IBD	29.64	0.155	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917548	chr1	20143547	20143548	intergenic|chr1:20142791-20144213	intergenic	10.851683	OTUD3	20208887	NA	0.858115	True	65385	False	0.003913	0.013223	0.013187	0.003902	0.001216	0.005118	0.055541	0.018702	0.143102	0.032998	H7	chr1	20143547	20143548	FALSE	TRUE	Huang2017-r4-2	IBD	29.64	0.155	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917548	chr1	20143547	20143548	intergenic|chr1:20142791-20144213	intergenic	10.851683	RNF186	20141771	NA	0.400766	True	1731	False	0.0354	0.125372	0.123436	0.034853	0.001216	0.036069	0.391408	0.129381	1.339489	0.292103	H7	chr1	20143547	20143548	FALSE	TRUE	Huang2017-r4-2	IBD	29.64	0.155	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs10917548	chr1	20143547	20143548	intergenic|chr1:20142909-20143794	intergenic	11.480496	OTUD3	20208887	NA	0.755948	True	65535.5	False	0.003913	0.013196	0.013161	0.003902	0.001216	0.005118	0.05876	0.02311	0.151092	0.043568	iPS_DF_19.11_Cell_Line-Roadmap	chr1	20143547	20143548	FALSE	TRUE	Huang2017-r4-2	IBD	29.64	0.155	rs3806308	FALSE	FALSE	FALSE	6	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30481989-30482648	intergenic	7.000586	ITGAL	30483982	NA	0.82744	True	1663.5	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.398	0.064732	0.864125	0.082391	CD3-positive_T_cell-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	promoter|chr16:30482010-30485397	promoter	15.436001	ITGAL	30483982	NA	0.803528	True	278.5	True	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.877574	0.147623	1.905359	0.190326	T-cell-ENCODE	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482215-30482715	intergenic	4.74202	ITGAL	30483982	NA	0.824874	True	1517	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.269595	0.061615	0.585336	0.078846	CD4-positive_helper_T_cell-Corces2016	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482154-30482845	intergenic	5.273564	ITGAL	30483982	NA	0.817541	True	1482.5	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.299815	0.047938	0.650948	0.059576	thymus_fetal-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	promoter|chr16:30482147-30484461	promoter	21.176183	ITGAL	30483982	NA	0.820026	True	678	True	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	1.203918	0.200951	2.613904	0.246609	OCI-LY7-ENCODE	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482160-30482733	intergenic	5.520799	ITGAL	30483982	NA	0.868258	True	1535.5	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.313871	0.047265	0.681466	0.060464	CD56-positive_natural_killer_cells-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482223-30482723	intergenic	4.077496	ITGAL	30483982	NA	0.825077	True	1509	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.231816	0.050263	0.50331	0.064469	natural_killer_cell-Corces2016	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482164-30482850	intergenic	1.437799	ITGAL	30483982	NA	0.545503	True	1475	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.081742	0.019762	0.177476	0.025844	Karpas-422-ENCODE	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482228-30482728	intergenic	3.044313	ITGAL	30483982	NA	0.649503	True	1504	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.173077	0.033741	0.375778	0.046188	Jurkat-Engreitz	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482204-30482861	intergenic	4.084392	ITGAL	30483982	NA	0.746374	True	1449.5	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.232208	0.039336	0.504161	0.051238	CD8-positive_alpha-beta_T_cell-ENCODE	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482233-30482733	intergenic	4.564179	ITGAL	30483982	NA	0.783363	True	1499	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.259485	0.062445	0.563384	0.081324	CD8-positive_alpha-beta_T_cell-Corces2016	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482327-30483471	intergenic	13.075529	ZNF768	30537910	NA	0.62001	True	55011	False	0.007476	0.015381	0.015326	0.007449	0.001216	0.008665	0.113298	0.018311	0.200393	0.017693	GM12878-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482246-30482746	intergenic	3.592626	ITGAL	30483982	NA	0.672886	True	1486	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.20425	0.038636	0.44346	0.051419	Jurkat_anti-CD3_PMA_4hr-Engreitz	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482217-30482717	intergenic	5.891953	ITGAL	30483982	NA	0.749389	True	1515	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.334972	0.061117	0.727279	0.080965	CD4-positive_helper_T_cell-ENCODE	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	promoter|chr16:30482277-30484232	promoter	9.553668	ITGAL	30483982	NA	0.728898	True	727.5	True	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.543149	0.107019	1.179267	0.142975	CD19-positive_B_cell-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482327-30483471	intergenic	13.075529	DCTPP1	30441373	NA	0.839213	True	41526	False	0.007336	0.019671	0.019574	0.007299	0.001216	0.008515	0.11134	0.017598	0.255937	0.024835	GM12878-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482327-30483471	intergenic	13.075529	ITGAL	30483982	NA	0.948916	True	1083	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.743376	0.106962	1.613992	0.133982	GM12878-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482327-30483471	intergenic	13.075529	SEPHS2	30457296	NA	0.849397	True	25603	False	0.011166	0.030034	0.029812	0.011084	0.001216	0.0123	0.160826	0.024925	0.38981	0.036065	GM12878-Roadmap	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11150589	chr16	30482493	30482494	intergenic|chr16:30482286-30482786	intergenic	1.531263	ITGAL	30483982	NA	0.414087	True	1446	False	0.056509	0.125372	0.123436	0.055637	0.001216	0.056852	0.087056	0.022425	0.189013	0.031111	BJAB_anti-IgM_anti-CD40_4hr-Engreitz	chr16	30482493	30482494	FALSE	TRUE	Huang2017-r151-1	IBD	10.79	0.2651	rs11150589	FALSE	FALSE	FALSE	141	Ulcerative_colitis
rs11236797	chr11	76299648	76299649	intergenic|chr11:76298798-76300182	intergenic	16.734165	THAP12	76092009	NA	0.719814	True	207481	False	0.001384	0.004814	0.004829	0.001389	0.001216	0.002605	0.043585	0.018057	0.080808	0.021339	endothelial_cell_of_umbilical_vein-Roadmap	chr11	76299648	76299649	FALSE	TRUE	Huang2017-r121-1	IBD	49.65	0.2515	rs11236797	FALSE	FALSE	FALSE	79	IBD
rs11236797	chr11	76299648	76299649	intergenic|chr11:76298798-76300182	intergenic	16.734165	LOC100506127	76092346	NA	0.708489	True	207144	False	0.001384	0.004821	0.004836	0.001389	0.001216	0.002605	0.043585	0.018057	0.080922	0.021388	endothelial_cell_of_umbilical_vein-Roadmap	chr11	76299648	76299649	FALSE	TRUE	Huang2017-r121-1	IBD	49.65	0.2515	rs11236797	FALSE	FALSE	FALSE	79	IBD
rs11236797	chr11	76299648	76299649	intergenic|chr11:76298798-76300182	intergenic	16.734165	AQP11	77300679	NA	0.586117	True	1001189	False	0.000294	0.001215	0.001228	0.000297	0.001215	0.001512	0.025294	0.015015	0.020548	0.008669	endothelial_cell_of_umbilical_vein-Roadmap	chr11	76299648	76299649	FALSE	TRUE	Huang2017-r121-1	IBD	49.65	0.2515	rs11236797	FALSE	FALSE	FALSE	79	IBD
