chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	chrTSS	startTSS	endTSS	GeneSymbol	EffectSize	Significant	Regulated	IncludeInModel	Reason	CellType	padj	PowerAtEffectSize=0.25	EffectSize95ConfidenceIntervalLow	EffectSize95ConfidenceIntervalHigh	name	Reference	expt.class
chr21	45627807	45628307	chr21	45660887	45660887	ICOSLG	-0.20991	FALSE	FALSE	FALSE	;Not Significant and Insufficient Power	THP1	0.720536805414411	0.0802612335054666	-0.574536054531626	0.154716054531626	NA	NA	NA
chr21	45660637	45661561	chr21	45660887	45660887	ICOSLG	-0.48669	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	3.7489720065881e-06	0.709431690066258	-0.654919480906718	-0.318460519093282	NA	NA	NA
chr21	45616069	45616569	chr21	45660887	45660887	ICOSLG	-0.20509	TRUE	TRUE	TRUE		GM12878	3.1007866068838e-41	1	-0.227019182874987	-0.183160817125013	NA	NA	NA
chr21	45626561	45627626	chr21	45660887	45660887	ICOSLG	-0.2144	TRUE	TRUE	TRUE		GM12878	3.30004010524933e-45	1	-0.247298630436208	-0.181501369563792	NA	NA	NA
chr21	45627759	45628259	chr21	45660887	45660887	ICOSLG	-0.27979	TRUE	TRUE	TRUE		GM12878	4.88285241783698e-19	0.999999999985167	-0.337681122213206	-0.221898877786794	NA	NA	NA
chr21	45660637	45661636	chr21	45660887	45660887	ICOSLG	-0.5899	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	6.00926680153434e-77	0.999991861035713	-0.683417103202327	-0.496382896797673	NA	NA	NA
chr21	34774836	34775451	chr21	34775201	34775201	IFNGR2	-0.094012	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	9.82206070015413e-26	1	-0.119252052872541	-0.0687719471274589	NA	NA	NA
chr21	34776289	34777452	chr21	34775201	34775201	IFNGR2	-0.527571	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	0	1	-0.569869807549658	-0.485272192450342	NA	NA	NA
chr21	45660637	45661636	chr21	34775201	34775201	IFNGR2	-0.387288	TRUE	TRUE	FALSE	;Not cis pair	GM12878	6.01751874295703e-10	1	-0.389014089592043	-0.385561910407957	NA	NA	NA
chr21	34774264	34775451	chr21	34775201	34775201	IFNGR2	0.048748	TRUE	FALSE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	0.000109429251848463	1	-0.00425143411869544	0.101747434118695	NA	NA	NA
chr21	34776318	34776818	chr21	34775201	34775201	IFNGR2	-0.300248	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	6.9781666550386e-135	1	-0.353692993957141	-0.246803006042859	NA	NA	NA
chr1	206945468	206946089	chr1	206945839	206945839	IL10	-0.67782	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	BJAB	8.70199438985751e-27	0.817756511388327	-0.962006190667897	-0.393633809332103	NA	NA	NA
chr1	206966531	206967031	chr1	206945839	206945839	IL10	-0.46425	TRUE	TRUE	TRUE		BJAB	1.60390641574054e-18	0.9990820361281	-0.559315063179461	-0.369184936820539	NA	NA	NA
chr5	55290571	55291244	chr5	55290821	55290821	IL6ST	-0.360912	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	2.68355320933611e-06	0.903412119465366	-0.502261483428914	-0.219562516571086	NA	NA	NA
chr5	150460334	150460895	chr5	55290821	55290821	IL6ST	0.015005	FALSE	FALSE	FALSE	;Not cis pair	THP1	0.951105429317763	0.979290416590868	-0.0992289420377711	0.129238942037771	NA	NA	NA
chr5	55290571	55291244	chr5	55290821	55290821	IL6ST	-0.48651	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	BJAB	1.22361632957789e-73	0.999994805278955	-0.573323967049261	-0.399696032950739	NA	NA	NA
chr5	150460282	150460895	chr5	55290821	55290821	IL6ST	0.016403	FALSE	FALSE	FALSE	;Not cis pair	BJAB	0.595772766046231	0.999999999998727	-0.041812342267032	0.074618342267032	NA	NA	NA
chr5	55290571	55291244	chr5	55290821	55290821	IL6ST	-0.436147	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	3.09370041636217e-48	0.999972433918942	-0.53144856977829	-0.34084543022171	NA	NA	NA
chr5	55444297	55444797	chr5	55290821	55290821	IL6ST	-0.130075	TRUE	TRUE	TRUE		Jurkat	0.0339004710024045	0.994916564830404	-0.24151197909349	-0.0186380209065098	NA	NA	NA
chr5	150460107	150460895	chr5	55290821	55290821	IL6ST	0.070564	TRUE	FALSE	FALSE	;Not cis pair	Jurkat	0.0137912521316238	1	0.0236685356135499	0.11745946438645	NA	NA	NA
chr5	55289559	55291877	chr5	55290821	55290821	IL6ST	-0.4892089	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	7.80095731592519e-41	0.99916722843752	-0.587749952087173	-0.390667847912827	NA	NA	NA
chr5	55438509	55439009	chr5	55290821	55290821	IL6ST	-0.0074851	FALSE	FALSE	TRUE		GM12878	0.992672481806517	0.995992455516764	-0.108985304561795	0.0940151045617948	NA	NA	NA
chr5	55439188	55439688	chr5	55290821	55290821	IL6ST	-0.0096082	FALSE	FALSE	TRUE		GM12878	0.992672481806517	0.807437878306341	-0.189459408244368	0.170243008244368	NA	NA	NA
chr5	55443658	55444158	chr5	55290821	55290821	IL6ST	-0.0449311	FALSE	FALSE	TRUE		GM12878	0.800500273423748	0.932331020295765	-0.188052918599221	0.0981907185992214	NA	NA	NA
chr5	55444308	55444808	chr5	55290821	55290821	IL6ST	0.0959187	FALSE	FALSE	TRUE		GM12878	0.375304399760653	0.897010461419031	-0.0589262878372592	0.250763687837259	NA	NA	NA
chr5	150460395	150461164	chr5	55290821	55290821	IL6ST	0.0942165	TRUE	FALSE	FALSE	;Not cis pair	GM12878	0.0295282265766886	0.999987914213921	0.00992118787682711	0.178511812123173	NA	NA	NA
chr16	30469970	30471372	chr16	30483982	30483982	ITGAL	-0.2598838	TRUE	TRUE	TRUE		GM12878	1.22182907128504e-81	1	-0.292726714867748	-0.227040885132252	NA	NA	NA
chr16	30483658	30484232	chr16	30483982	30483982	ITGAL	-0.7766479	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	GM12878	1.92286068117306e-193	1	-0.821049391833181	-0.732246408166819	NA	NA	NA
chr16	30645488	30646231	chr16	30483982	30483982	ITGAL	-0.0079949	FALSE	FALSE	TRUE		GM12878	0.585223154688077	1	-0.0209181894419921	0.00492838944199215	NA	NA	NA
chr16	85932465	85933023	chr16	30483982	30483982	ITGAL	0.0162371	FALSE	FALSE	FALSE	;Not cis pair	GM12878	0.340704880235811	1	0.000829022921373282	0.0316451770786267	NA	NA	NA
chr16	85969256	85970863	chr16	30483982	30483982	ITGAL	0.0114631	FALSE	FALSE	FALSE	;Not cis pair	GM12878	0.346533412074434	1	0.00086423358326395	0.0220619664167361	NA	NA	NA
chr16	30469963	30470463	chr16	30483982	30483982	ITGAL	-0.363672	TRUE	TRUE	TRUE		Jurkat	7.62376877522419e-78	1	-0.396378271340289	-0.330965728659711	NA	NA	NA
chr16	30483670	30484232	chr16	30483982	30483982	ITGAL	-0.796638	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	3.29336068227822e-163	1	-0.830987725303566	-0.762288274696434	NA	NA	NA
chr16	30645392	30645892	chr16	30483982	30483982	ITGAL	-0.022087	FALSE	FALSE	TRUE		Jurkat	0.630892997753825	1	-0.0482680273759625	0.00409402737596249	NA	NA	NA
chr16	85932523	85933023	chr16	30483982	30483982	ITGAL	-0.011704	FALSE	FALSE	FALSE	;Not cis pair	Jurkat	0.824726685865436	1	-0.0383933631054537	0.0149853631054537	NA	NA	NA
chr16	85969599	85970099	chr16	30483982	30483982	ITGAL	-0.01438	FALSE	FALSE	FALSE	;Not cis pair	Jurkat	0.796169677678425	1	-0.0346977147373324	0.00593771473733239	NA	NA	NA
chr10	6186666	6187166	chr10	6244839	6244839	PFKFB3	-0.514359	TRUE	TRUE	TRUE		THP1	1.31176506104738e-05	0.423061942611138	-0.668210516661462	-0.360507483338538	NA	NA	NA
chr10	6244554	6245089	chr10	6244839	6244839	PFKFB3	-0.208469	FALSE	FALSE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer) ;Not Significant and Insufficient Power	THP1	0.136540633098672	0.645653667696825	-0.381192449069574	-0.0357455509304263	NA	NA	NA
chr10	6389986	6390486	chr10	6244839	6244839	PFKFB3	0.168546	FALSE	FALSE	FALSE	;Not Significant and Insufficient Power	THP1	0.473006181077292	0.422050110597787	-0.122199035494333	0.459291035494333	NA	NA	NA
chr10	30722694	30723633	chr10	6244839	6244839	PFKFB3	-0.015654	FALSE	FALSE	FALSE	;Not cis pair	THP1	0.813133610988707	0.929778122787832	-0.152131177527017	0.120823177527017	NA	NA	NA
chr10	6186610	6187110	chr10	6244839	6244839	PFKFB3	-0.690179	TRUE	TRUE	TRUE		Jurkat	3.81983787442293e-41	0.999420127327117	-0.781145460526964	-0.599212539473036	NA	NA	NA
chr10	6244558	6245089	chr10	6244839	6244839	PFKFB3	-0.323721	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	Jurkat	2.18759470403988e-11	0.997920926484113	-0.429316813599104	-0.218125186400896	NA	NA	NA
chr10	6389972	6390472	chr10	6244839	6244839	PFKFB3	-0.161911	TRUE	TRUE	TRUE		Jurkat	0.0403683731224766	0.951907195770381	-0.310529257963679	-0.0132927420363211	NA	NA	NA
chr10	30722685	30723199	chr10	6244839	6244839	PFKFB3	-0.056908	FALSE	FALSE	FALSE	;Not cis pair	Jurkat	0.472398962355559	0.998523329401391	-0.160439883180544	0.0466238831805437	NA	NA	NA
chr10	80697308	80697808	chr10	81107219	81107219	PPIF	-0.015191	FALSE	FALSE	TRUE		THP1	0.807218774036694	1	-0.0493429764422799	0.0189609764422799	NA	NA	NA
chr10	80712777	80713277	chr10	81107219	81107219	PPIF	0.0136964	FALSE	FALSE	TRUE		THP1	0.803724949748673	1	-0.0267962802605234	0.0541890802605234	NA	NA	NA
chr10	80720172	80720672	chr10	81107219	81107219	PPIF	0.0105351	FALSE	FALSE	TRUE		THP1	0.922976446914768	0.999999999996554	-0.0465789796962174	0.0676491796962174	NA	NA	NA
chr10	80733229	80733729	chr10	81107219	81107219	PPIF	-0.0128215	FALSE	FALSE	TRUE		THP1	0.880953244217355	1	-0.0552852317495051	0.0296422317495051	NA	NA	NA
chr10	80734329	80734829	chr10	81107219	81107219	PPIF	-0.0156301	FALSE	FALSE	TRUE		THP1	0.803724949748673	1	-0.0539697266118344	0.0227095266118344	NA	NA	NA
chr10	80737566	80738066	chr10	81107219	81107219	PPIF	-0.0013339	FALSE	FALSE	TRUE		THP1	0.983149333585195	0.999999999999997	-0.0537038417731443	0.0510360417731443	NA	NA	NA
chr10	80761002	80761502	chr10	81107219	81107219	PPIF	-0.0345561	FALSE	FALSE	TRUE		THP1	0.42198527059648	0.999999999999998	-0.0856087130688997	0.0164965130688997	NA	NA	NA
chr10	80767547	80768047	chr10	81107219	81107219	PPIF	-0.0272301	FALSE	FALSE	TRUE		THP1	0.611588108260415	1	-0.0733635335768262	0.0189033335768262	NA	NA	NA
chr10	80779591	80780091	chr10	81107219	81107219	PPIF	-0.0165293	FALSE	FALSE	TRUE		THP1	0.803724949748673	1	-0.0628629848137148	0.0298043848137148	NA	NA	NA
chr10	80782264	80782764	chr10	81107219	81107219	PPIF	0.0160551	FALSE	FALSE	TRUE		THP1	0.803724949748673	1	-0.0299892444256478	0.0620994444256478	NA	NA	NA
chr10	80806703	80807203	chr10	81107219	81107219	PPIF	-0.0169265	FALSE	FALSE	TRUE		THP1	0.772895154489235	1	-0.0537332120390655	0.0198802120390655	NA	NA	NA
chr10	80826955	80827540	chr10	81107219	81107219	PPIF	-0.0227367	FALSE	FALSE	TRUE		THP1	0.600891281321879	1	-0.0579148270414813	0.0124414270414813	NA	NA	NA
chr10	80827738	80828238	chr10	81107219	81107219	PPIF	-0.001076	FALSE	FALSE	TRUE		THP1	0.983149333585195	1	-0.0316309749184392	0.0294789749184392	NA	NA	NA
chr10	80828356	80829041	chr10	81107219	81107219	PPIF	0.0585329	TRUE	FALSE	TRUE		THP1	0.0191921400249227	1	0.017552076403121	0.099513723596879	NA	NA	NA
chr10	80829306	80829806	chr10	81107219	81107219	PPIF	0.0017989	FALSE	FALSE	TRUE		THP1	0.974095524891569	0.999999999999897	-0.0494562632345732	0.0530540632345732	NA	NA	NA
chr10	80830433	80831231	chr10	81107219	81107219	PPIF	-0.0086382	FALSE	FALSE	TRUE		THP1	0.900012820979188	1	-0.0349663068275066	0.0176899068275065	NA	NA	NA
chr10	80838591	80839091	chr10	81107219	81107219	PPIF	-0.0120054	FALSE	FALSE	TRUE		THP1	0.880953244217355	1	-0.0518919858128779	0.0278811858128779	NA	NA	NA
chr10	80843896	80844396	chr10	81107219	81107219	PPIF	0.0245834	FALSE	FALSE	TRUE		THP1	0.633821660839714	1	-0.0201967021639459	0.0693635021639459	NA	NA	NA
chr10	80853442	80853942	chr10	81107219	81107219	PPIF	0.0766138	TRUE	FALSE	TRUE		THP1	0.00518180016889293	0.99999999999997	0.0222199065370864	0.131007693462914	NA	NA	NA
chr10	80861496	80862379	chr10	81107219	81107219	PPIF	-0.0037991	FALSE	FALSE	TRUE		THP1	0.972718662736029	1	-0.0338538294026882	0.0262556294026882	NA	NA	NA
chr10	80883194	80883694	chr10	81107219	81107219	PPIF	0.006386	FALSE	FALSE	TRUE		THP1	0.922976446914768	1	-0.0326311397853166	0.0454031397853167	NA	NA	NA
chr10	80886967	80887467	chr10	81107219	81107219	PPIF	0.0019395	FALSE	FALSE	TRUE		THP1	0.973140821950561	1	-0.0366751953727669	0.0405541953727669	NA	NA	NA
chr10	80892278	80892778	chr10	81107219	81107219	PPIF	0.0159497	FALSE	FALSE	TRUE		THP1	0.788791940983423	1	-0.023753142446751	0.0556525424467511	NA	NA	NA
chr10	80897368	80897868	chr10	81107219	81107219	PPIF	0.0424302	FALSE	FALSE	TRUE		THP1	0.110159258402817	1	0.00396833213942452	0.0808920678605755	NA	NA	NA
chr10	80898727	80899227	chr10	81107219	81107219	PPIF	0.0395914	FALSE	FALSE	TRUE		THP1	0.254336444001051	1	-0.00356034088958058	0.0827431408895806	NA	NA	NA
chr10	80909652	80910152	chr10	81107219	81107219	PPIF	-0.0047596	FALSE	FALSE	TRUE		THP1	0.972718662736029	1	-0.0479138162142164	0.0383946162142164	NA	NA	NA
chr10	80915007	80915507	chr10	81107219	81107219	PPIF	0.0045202	FALSE	FALSE	TRUE		THP1	0.960054003798792	1	-0.0374548111107938	0.0464952111107938	NA	NA	NA
chr10	80940254	80940754	chr10	81107219	81107219	PPIF	0.0210828	FALSE	FALSE	TRUE		THP1	0.803724949748673	0.999999999999383	-0.0314255212336301	0.0735911212336301	NA	NA	NA
chr10	80947823	80948323	chr10	81107219	81107219	PPIF	-0.0024837	FALSE	FALSE	TRUE		THP1	0.974095524891569	1	-0.0431616562617379	0.0381942562617379	NA	NA	NA
chr10	80955127	80955627	chr10	81107219	81107219	PPIF	-0.0274749	FALSE	FALSE	TRUE		THP1	0.386617013896788	1	-0.0552127144310605	0.000262914431060544	NA	NA	NA
chr10	80956471	80956971	chr10	81107219	81107219	PPIF	-0.0398447	FALSE	FALSE	TRUE		THP1	0.168695036384376	1	-0.0703090800778245	-0.00938031992217545	NA	NA	NA
chr10	80962185	80962685	chr10	81107219	81107219	PPIF	-0.0020154	FALSE	FALSE	TRUE		THP1	0.976904793796287	1	-0.0437832050276578	0.0397524050276578	NA	NA	NA
chr10	80967179	80967679	chr10	81107219	81107219	PPIF	0.0235601	FALSE	FALSE	TRUE		THP1	0.513628722920336	1	-0.0128470300526116	0.0599672300526116	NA	NA	NA
chr10	81001865	81002365	chr10	81107219	81107219	PPIF	0.030028	FALSE	FALSE	TRUE		THP1	0.337876825384038	1	-0.0072144026768217	0.0672704026768217	NA	NA	NA
chr10	81004543	81005043	chr10	81107219	81107219	PPIF	-0.0087682	FALSE	FALSE	TRUE		THP1	0.922976446914768	1	-0.0488830786394099	0.0313466786394099	NA	NA	NA
chr10	81008067	81008567	chr10	81107219	81107219	PPIF	0.0033004	FALSE	FALSE	TRUE		THP1	0.972718662736029	1	-0.0298861958075715	0.0364869958075715	NA	NA	NA
chr10	81009980	81010480	chr10	81107219	81107219	PPIF	0.0019139	FALSE	FALSE	TRUE		THP1	0.973140821950561	1	-0.0327207433370431	0.0365485433370432	NA	NA	NA
chr10	81026303	81026803	chr10	81107219	81107219	PPIF	-0.0193932	FALSE	FALSE	TRUE		THP1	0.730105609318325	1	-0.0601270658867892	0.0213406658867892	NA	NA	NA
chr10	81033937	81034437	chr10	81107219	81107219	PPIF	-0.048436	FALSE	FALSE	TRUE		THP1	0.110159258402817	1	-0.0853058982005558	-0.0115661017994442	NA	NA	NA
chr10	81039410	81039910	chr10	81107219	81107219	PPIF	-0.0793601	FALSE	FALSE	FALSE	;Not Significant and Insufficient Power	THP1	0.788791940983423	0.717778875483633	-0.255018133359321	0.0962979333593212	NA	NA	NA
chr10	81046091	81046591	chr10	81107219	81107219	PPIF	-0.4266251	TRUE	TRUE	TRUE		THP1	3.85241534236192e-86	1	-0.453909455710679	-0.399340744289321	NA	NA	NA
chr10	81053518	81054265	chr10	81107219	81107219	PPIF	0.0465501	FALSE	FALSE	TRUE		THP1	0.0560457205203062	1	0.00543530922269497	0.087664890777305	NA	NA	NA
chr10	81077373	81077873	chr10	81107219	81107219	PPIF	-0.1762626	TRUE	TRUE	TRUE		THP1	3.05090999124731e-12	1	-0.222860468547532	-0.129664731452468	NA	NA	NA
chr10	81080858	81081358	chr10	81107219	81107219	PPIF	-0.291536	TRUE	TRUE	TRUE		THP1	1.44431471302317e-32	1	-0.328198999635261	-0.254873000364739	NA	NA	NA
chr10	81082897	81083397	chr10	81107219	81107219	PPIF	-0.1588109	TRUE	TRUE	TRUE		THP1	2.52486520402665e-12	1	-0.202973688908186	-0.114648111091814	NA	NA	NA
chr10	81088778	81089278	chr10	81107219	81107219	PPIF	0.0172669	FALSE	FALSE	TRUE		THP1	0.803724949748673	1	-0.0294129077569127	0.0639467077569127	NA	NA	NA
chr10	81091354	81091854	chr10	81107219	81107219	PPIF	-0.0250984	FALSE	FALSE	TRUE		THP1	0.58713887795125	1	-0.0667712353999626	0.0165744353999626	NA	NA	NA
chr10	81095452	81095952	chr10	81107219	81107219	PPIF	-0.0064849	FALSE	FALSE	TRUE		THP1	0.93307455488874	1	-0.0375418625951847	0.0245720625951847	NA	NA	NA
chr10	81105007	81105507	chr10	81107219	81107219	PPIF	-0.0204411	FALSE	FALSE	TRUE		THP1	0.730105609318325	1	-0.0607777122527263	0.0198955122527263	NA	NA	NA
chr10	81106969	81107642	chr10	81107219	81107219	PPIF	-0.5046828	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	8.94175705740265e-97	0.999999967510078	-0.580426251405	-0.428939348595	NA	NA	NA
chr10	81112816	81113770	chr10	81107219	81107219	PPIF	-0.3724321	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	3.46747211504833e-65	0.999999999987748	-0.434407852959968	-0.310456347040032	NA	NA	NA
chr10	81113777	81114277	chr10	81107219	81107219	PPIF	-0.440032	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	1.86286885211783e-56	0.999998521952957	-0.524017860909553	-0.356046139090447	NA	NA	NA
chr10	81115805	81116305	chr10	81107219	81107219	PPIF	-0.0659756	TRUE	TRUE	FALSE	Enhancer overlaps bounds of gene (i.e., is promoter or intronic enhancer)	THP1	0.0425587423401904	0.999999999999999	-0.115739184168005	-0.0162120158319945	NA	NA	NA
chr10	81134305	81134805	chr10	81107219	81107219	PPIF	-0.0522791	FALSE	FALSE	TRUE		THP1	0.0690527615628959	1	-0.0937119259996889	-0.0108462740003111	NA	NA	NA
chr10	81148638	81149138	chr10	81107219	81107219	PPIF	-0.0060441	FALSE	FALSE	TRUE		THP1	0.960054003798792	1	-0.0399905234475424	0.0279023234475424	NA	NA	NA
chr10	81159191	81159691	chr10	81107219	81107219	PPIF	-0.0528121	TRUE	TRUE	TRUE		THP1	0.0338443357098053	1	-0.0868423756090098	-0.0187818243909902	NA	NA	NA
chr10	81163946	81164446	chr10	81107219	81107219	PPIF	0.080001	TRUE	FALSE	TRUE		THP1	0.00382466975776632	0.999999999999996	0.0274972275522933	0.132504772447707	NA	NA	NA
chr10	81171662	81172162	chr10	81107219	81107219	PPIF	-0.0080987	FALSE	FALSE	TRUE		THP1	0.922976446914768	1	-0.047201802727871	0.031004402727871	NA	NA	NA
chr10	81172998	81173498	chr10	81107219	81107219	PPIF	-0.0411512	FALSE	FALSE	TRUE		THP1	0.168695036384376	1	-0.08102470556243	-0.00127769443756994	NA	NA	NA
chr10	81179566	81180066	chr10	81107219	81107219	PPIF	-0.0313585	FALSE	FALSE	TRUE		THP1	0.386617013896788	1	-0.0735636483487292	0.0108466483487292	NA	NA	NA
chr10	81204312	81204812	chr10	81107219	81107219	PPIF	0.0059115	FALSE	FALSE	TRUE		THP1	0.922976446914768	1	-0.0210548516756893	0.0328778516756893	NA	NA	NA
chr10	81205133	81205871	chr10	81107219	81107219	PPIF	-0.0341017	FALSE	FALSE	TRUE		THP1	0.216503017751419	1	-0.0655611529587034	-0.00264224704129656	NA	NA	NA
chr10	81227183	81227683	chr10	81107219	81107219	PPIF	-0.0041941	FALSE	FALSE	TRUE		THP1	0.973140821950561	1	-0.0451847977284655	0.0367965977284655	NA	NA	NA
chr10	81227743	81228243	chr10	81107219	81107219	PPIF	-0.0029402	FALSE	FALSE	TRUE		THP1	0.974095524891569	1	-0.0534610950783627	0.0475806950783627	NA	NA	NA
chr10	81232795	81233765	chr10	81107219	81107219	PPIF	-0.0073427	FALSE	FALSE	TRUE		THP1	0.922976446914768	1	-0.0412799572889213	0.0265945572889213	NA	NA	NA
chr10	81247316	81247816	chr10	81107219	81107219	PPIF	-0.0469118	FALSE	FALSE	TRUE		THP1	0.149467899360528	1	-0.0855080384168858	-0.0083155615831142	NA	NA	NA
chr10	81250745	81251245	chr10	81107219	81107219	PPIF	-0.0520228	FALSE	FALSE	TRUE		THP1	0.120268654895307	1	-0.0950391333220587	-0.00900646667794127	NA	NA	NA
